Type,Label,Data
Global,Dechets,17.21
Global,Procedes industriels et solvants,43.92
Global,Agriculture,76.21
Global,Utilisation d'energie,327.25
Utilisation d'energie,Residentiel et tertiaire,174
Utilisation d'energie,Industrie manufacturiere et construction,500
Utilisation d'energie,Transports,946
Utilisation d'energie,Industries de l'energie,1179
Agriculture,Agriculture,45.6
Agriculture,Elevages bovin,26.6
Agriculture,Autres Elevages,4.01
Procedes industriels et solvants,Ciment, 75.5
Procedes industriels et solvants,Industried chimiques, 61.9
Procedes industriels et solvants,Fer et Acier, 60.4
Procedes industriels et solvants,Autres,179.68
Dechets
Dechets
Dechets
Dechets
