Type,Label,Data
Global,Dechets,138,87
Global,Procedes industriels et solvants,377,48
Global,Agriculture,438,99
Global,Utilisation d'energie,3367,82
Utilisation d'energie,Residentiel et tertiaire,174
Utilisation d'energie,Industrie manufacturiere et construction,500
Utilisation d'energie,Transports,946
Utilisation d'energie,Industries de l'energie,1179
Agriculture,Agriculture,85.5
Agriculture,Elevages bovin,34.6
Agriculture,Autres Elevages,6.2
Procedes industriels et solvants,Ciment, 75.5
Procedes industriels et solvants,Industried chimiques, 61.9
Procedes industriels et solvants,Fer et Acier, 60.4
Procedes industriels et solvants,Autres,179.68
Dechets
Dechets
Dechets
Dechets
