Entity,Year,Number_of_disasters
All natural disasters,1950,23
All natural disasters,1951,27
All natural disasters,1952,24
All natural disasters,1953,34
All natural disasters,1954,33
All natural disasters,1955,30
All natural disasters,1956,36
All natural disasters,1957,29
All natural disasters,1958,23
All natural disasters,1959,33
All natural disasters,1960,40
All natural disasters,1961,28
All natural disasters,1962,28
All natural disasters,1963,41
All natural disasters,1964,60
All natural disasters,1965,61
All natural disasters,1966,80
All natural disasters,1967,70
All natural disasters,1968,77
All natural disasters,1969,62
All natural disasters,1970,77
All natural disasters,1971,61
All natural disasters,1972,63
All natural disasters,1973,60
All natural disasters,1974,68
All natural disasters,1975,63
All natural disasters,1976,91
All natural disasters,1977,121
All natural disasters,1978,115
All natural disasters,1979,120
All natural disasters,1980,133
All natural disasters,1981,138
All natural disasters,1982,153
All natural disasters,1983,205
All natural disasters,1984,146
All natural disasters,1985,165
All natural disasters,1986,150
All natural disasters,1987,191
All natural disasters,1988,200
All natural disasters,1989,172
All natural disasters,1990,278
All natural disasters,1991,228
All natural disasters,1992,204
All natural disasters,1993,260
All natural disasters,1994,246
All natural disasters,1995,248
All natural disasters,1996,227
All natural disasters,1997,261
All natural disasters,1998,288
All natural disasters,1999,337
All natural disasters,2000,411
All natural disasters,2001,376
All natural disasters,2002,421
All natural disasters,2003,360
All natural disasters,2004,350
All natural disasters,2005,432
All natural disasters,2006,401
All natural disasters,2007,414
All natural disasters,2008,352
All natural disasters,2009,344
All natural disasters,2010,393
All natural disasters,2011,334
All natural disasters,2012,346
All natural disasters,2013,332
All natural disasters,2014,320
All natural disasters,2015,380
All natural disasters,2016,325
All natural disasters,2017,276
All natural disasters,2018,282
All natural disasters,2019,361
Drought,1960,1
Drought,1961,1
Drought,1963,1
Drought,1964,7
Drought,1965,7
Drought,1966,9
Drought,1967,5
Drought,1968,7
Drought,1969,10
Drought,1970,2
Drought,1971,7
Drought,1972,7
Drought,1973,2
Drought,1974,4
Drought,1975,1
Drought,1976,6
Drought,1977,16
Drought,1978,9
Drought,1979,11
Drought,1980,14
Drought,1981,13
Drought,1982,13
Drought,1983,32
Drought,1984,8
Drought,1985,3
Drought,1986,4
Drought,1987,15
Drought,1988,17
Drought,1989,7
Drought,1990,12
Drought,1991,18
Drought,1992,12
Drought,1993,9
Drought,1994,13
Drought,1995,6
Drought,1996,6
Drought,1997,18
Drought,1998,20
Drought,1999,23
Drought,2000,27
Drought,2001,22
Drought,2002,25
Drought,2003,14
Drought,2004,11
Drought,2005,20
Drought,2006,9
Drought,2007,11
Drought,2008,16
Drought,2009,18
Drought,2010,17
Drought,2011,17
Drought,2012,21
Drought,2013,9
Drought,2014,18
Drought,2015,28
Drought,2016,15
Drought,2017,7
Drought,2018,13
Drought,2019,15
Extreme temperature,1951,2
Extreme temperature,1953,3
Extreme temperature,1955,1
Extreme temperature,1958,2
Extreme temperature,1961,1
Extreme temperature,1962,1
Extreme temperature,1963,2
Extreme temperature,1965,1
Extreme temperature,1966,2
Extreme temperature,1968,2
Extreme temperature,1971,1
Extreme temperature,1972,2
Extreme temperature,1973,3
Extreme temperature,1975,3
Extreme temperature,1977,1
Extreme temperature,1978,1
Extreme temperature,1979,4
Extreme temperature,1980,3
Extreme temperature,1981,2
Extreme temperature,1982,3
Extreme temperature,1983,2
Extreme temperature,1984,1
Extreme temperature,1985,8
Extreme temperature,1986,2
Extreme temperature,1987,6
Extreme temperature,1988,6
Extreme temperature,1989,5
Extreme temperature,1990,13
Extreme temperature,1991,8
Extreme temperature,1992,7
Extreme temperature,1993,4
Extreme temperature,1994,9
Extreme temperature,1995,13
Extreme temperature,1996,5
Extreme temperature,1997,13
Extreme temperature,1998,12
Extreme temperature,1999,8
Extreme temperature,2000,31
Extreme temperature,2001,23
Extreme temperature,2002,15
Extreme temperature,2003,25
Extreme temperature,2004,16
Extreme temperature,2005,30
Extreme temperature,2006,24
Extreme temperature,2007,25
Extreme temperature,2008,10
Extreme temperature,2009,25
Extreme temperature,2010,29
Extreme temperature,2011,16
Extreme temperature,2012,51
Extreme temperature,2013,14
Extreme temperature,2014,17
Extreme temperature,2015,12
Extreme temperature,2016,12
Extreme temperature,2017,11
Extreme temperature,2018,25
Extreme temperature,2019,20
Extreme weather,1950,7
Extreme weather,1951,11
Extreme weather,1952,10
Extreme weather,1953,11
Extreme weather,1954,10
Extreme weather,1955,19
Extreme weather,1956,14
Extreme weather,1957,9
Extreme weather,1958,13
Extreme weather,1959,16
Extreme weather,1960,20
Extreme weather,1961,14
Extreme weather,1962,13
